Fri Dec 19 01:20:07 IST 2014 Starting regionserver on nn1.hadoop.com
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 14844
max locked memory       (kbytes, -l) 64
max memory size         (kbytes, -m) unlimited
open files                      (-n) 1024
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 10240
cpu time               (seconds, -t) unlimited
max user processes              (-u) 14844
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2014-12-19 01:20:08,411 INFO  [main] util.VersionInfo: HBase 0.98.8-hadoop2
2014-12-19 01:20:08,412 INFO  [main] util.VersionInfo: Subversion git://acer/usr/src/hbase -r 6cfc8d064754251365e070a10a82eb169956d5fe
2014-12-19 01:20:08,412 INFO  [main] util.VersionInfo: Compiled by apurtell on Fri Nov 14 18:26:29 PST 2014
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:DFS_NAME_DIR=/x/hadoop/hdfs/nn
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:MAPRED_PID_DIR=/var/run/hadoop/mapred
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:HDFS_USER=hdfs
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:JSVC_HOME=/usr/libexec/bigtop-utils/
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:YARN_LOCAL_LOG_DIR=/x/hadoop/yarn/logs
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:YARN_LOCAL_DIR=/x/hadoop/yarn/tmp
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:YARN_USER=yarn
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:PIG_CONF_DIR=/etc/pig/conf
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:JAVA_HOME=/usr/java/default
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:YARN_LOG_DIR=/x/log/hadoop/yarn
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:HBASE_HOME=/apache/hbase/bin/..
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:HIVE_HOME=/apache/hive
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:HBASE_ENV_INIT=true
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:SSH_CLIENT=192.168.1.10 33988 22
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:MAIL=/var/mail/root
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:SELINUX_ROLE_REQUESTED=
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:HBASE_ZNODE_FILE=/tmp/hbase-root-regionserver.znode
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:PWD=/apache/hbase
2014-12-19 01:20:08,819 INFO  [main] util.ServerCommandLine: env:CVS_RSH=ssh
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:HBASE_MANAGES_ZK=false
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:JAVA_LIBRARY_PATH=:/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/mapreduce:/apache/hadoop/share/hadoop/hdfs:/apache/hadoop/share/hadoop/yarn:/apache/hadoop/share/hadoop/common::/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/mapreduce:/apache/hadoop/share/hadoop/hdfs:/apache/hadoop/share/hadoop/yarn:/apache/hadoop/share/hadoop/common:/apache/hadoop-2.4.1/lib/native
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:G_BROKEN_FILENAMES=1
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:HBASE_NICENESS=0
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:HADOOP_LIBEXEC_DIR=/apache/hadoop/libexec
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:HBASE_REST_OPTS=
2014-12-19 01:20:08,820 INFO  [main] util.ServerCommandLine: env:NLSPATH=/usr/dt/lib/nls/msg/%L/%N.cat
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:SELINUX_USE_CURRENT_RANGE=
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:MAPRED_USER=mapred
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:PATH=/usr/lib64/qt-3.3/bin:/usr/local/sbin:/usr/local/bin:/sbin:/bin:/usr/sbin:/usr/bin:/apache/hadoop/bin:/usr/local/jdk1.7.0_51/bin/:/apache/hive/bin
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_GROUP=hadoop
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_LOG_DIR=/x/log/hadoop
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_PID_DIR=/var/run/hadoop-hdfs
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HIVE_CONF_DIR=/apache/hive/conf
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_SECURE_DN_USER=hdfs
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:QTLIB=/usr/lib64/qt-3.3/lib
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:PIG_LOG_DIR=/x/log/pig
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HBASE_SECURITY_LOGGER=INFO,RFAS
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_CLASSPATH=/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/common/lib:/apache/hadoop/share/hadoop/hdfs/lib:/apache/hadoop/share/hadoop/mapreduce/lib:/apache/hadoop/share/hadoop/yarn/lib:/apache/hadoop/conf:
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HDFS_LOG_DIR=/x/log/hadoop/hdfs
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HBASE_START_FILE=/tmp/hbase-root-regionserver.autorestart
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_CONF_DIR=/apache/hadoop/conf
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HBASE_LOGFILE=hbase-root-regionserver-nn1.hadoop.com.log
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:SHLVL=3
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_DIR=/apache/hbase/bin/../logs
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HBASE_OPTS=-XX:+UseConcMarkSweepGC   -Dhbase.log.dir=/apache/hbase/bin/../logs -Dhbase.log.file=hbase-root-regionserver-nn1.hadoop.com.log -Dhbase.home.dir=/apache/hbase/bin/.. -Dhbase.id.str=root -Dhbase.root.logger=INFO,RFA -Djava.library.path=:/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/mapreduce:/apache/hadoop/share/hadoop/hdfs:/apache/hadoop/share/hadoop/yarn:/apache/hadoop/share/hadoop/common::/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/mapreduce:/apache/hadoop/share/hadoop/hdfs:/apache/hadoop/share/hadoop/yarn:/apache/hadoop/share/hadoop/common:/apache/hadoop-2.4.1/lib/native -Dhbase.security.logger=INFO,RFAS
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:XFILESEARCHPATH=/usr/dt/app-defaults/%L/Dt
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:HADOOP_SECURE_DN_LOG_DIR=/var/run/hadoop/hdfs
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:YARN_PID_DIR=/var/run/hadoop/yarn
2014-12-19 01:20:08,821 INFO  [main] util.ServerCommandLine: env:LOGNAME=root
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:QTDIR=/usr/lib64/qt-3.3
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:HADOOP_HOME=/apache/hadoop
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:LD_LIBRARY_PATH=::/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/mapreduce:/apache/hadoop/share/hadoop/hdfs:/apache/hadoop/share/hadoop/yarn:/apache/hadoop/share/hadoop/common::/apache/hadoop/lib/native:/apache/hadoop/share/hadoop/mapreduce:/apache/hadoop/share/hadoop/hdfs:/apache/hadoop/share/hadoop/yarn:/apache/hadoop/share/hadoop/common:/apache/hadoop-2.4.1/lib/native
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:MALLOC_ARENA_MAX=4
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:SSH_CONNECTION=192.168.1.10 33988 192.168.1.8 22
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:SHELL=/bin/bash
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:SELINUX_LEVEL_REQUESTED=
2014-12-19 01:20:08,822 INFO  [main] util.ServerCommandLine: env:HDFS_PID_DIR=/var/run/hadoop/hdfs
2014-12-19 01:20:08,823 INFO  [main] util.ServerCommandLine: env:HBASE_ROOT_LOGGER=INFO,RFA
